id;tipo;sku-pai;sku;ativo;usado;destaque;ncm;gtin;mpn;nome;seo-tag-title;seo-tag-description;descricao-completa;url-video-youtube;estoque-gerenciado;estoque-quantidade;estoque-situacao-em-estoque;estoque-situacao-sem-estoque;preco-sob-consulta;preco-custo;preco-cheio;preco-promocional;marca;peso-em-kg;altura-em-cm;largura-em-cm;comprimento-em-cm;categoria-nome-nivel-1;categoria-nome-nivel-2;categoria-nome-nivel-3;categoria-nome-nivel-4;categoria-nome-nivel-5;imagem-1;imagem-2;imagem-3;imagem-4;imagem-5;grade-genero;grade-produto-com-uma-cor;grade-produto-com-duas-cores;grade-tamanho-de-anelalianca;grade-tamanho-de-calca;grade-tamanho-de-camisacamiseta;grade-tamanho-de-capacete;grade-tamanho-de-tenis;grade-voltagem;grade-tamanho-juvenil-infantil;grade-aparelho;grade-cores-da-blusa;grade-essenciafragrancia;grade-tamanho;grade-tamanho-da-calca;grade-tamanho-da-saia;grade-unidade-de-volume-liquidosolidospeso
60110397;sem-variacao;;B82H53X6L;N;N;N;;;;Turbante;;;;;S;4;imediata;indisponivel;N;;17,9;;Ale Sinhorelli;0,1;10;15;10;Moda Feminina;;;;;0;;;;;;;;;;;;;;;;;;;;;
60076059;com-variacao;;PCPLWK5LA;N;N;N;;;;Blusa de Amarrar Poá;;;;;;;;;N;;;;Ale Sinhorelli;;;;;Moda Feminina;Blusas;;;;https://cdn.awsli.com.br/1330/1330234/produto/60076059/e37fd99518.jpg;;;;;;;;;;;;;;;;;;;;;
60086387;com-variacao;;BF9QLJFQR;N;N;N;;;;Calça Jogger Preta;;;;;;;;;N;;;;Ale Sinhorelli;;;;;Moda Feminina;Calças;;;;https://cdn.awsli.com.br/1330/1330234/produto/60086387/deb5cd4f5f.jpg;;;;;;;;;;;;;;;;;;;;;
60086780;com-variacao;;6GB8BS33X;N;N;N;;;;Calça Jogger Zebra;;;;;;;;;N;;;;Ale Sinhorelli;;;;;Moda Feminina;Calças;;;;https://cdn.awsli.com.br/1330/1330234/produto/60086780/d3ac2a828b.jpg;https://cdn.awsli.com.br/1330/1330234/produto/60086780/ccde36af4c.jpg;;;;;;;;;;;;;;;;;;;;
60081339;com-variacao;;AH5ZK32YK;N;N;N;;;;Calça Pantacourt Mostarda;;;;;;;;;N;;;;Ale Sinhorelli;;;;;Moda Feminina;Calças;;;;https://cdn.awsli.com.br/1330/1330234/produto/60081339/9e085dfaf5.jpg;;;;;;;;;;;;;;;;;;;;;
60082808;com-variacao;;NBN4L2QNW;N;N;N;;;;Calça Pantacourt Terra Cota;;;;;;;;;N;;;;Ale Sinhorelli;;;;;Moda Feminina;Calças;;;;;;;;;;;;;;;;;;;;;;;;;
60084936;com-variacao;;R9PWRU6LL;N;N;N;;;;Calça Pantalona Terra Cota;;;;;;;;;N;;;;Ale Sinhorelli;;;;;Moda Feminina;Calças;;;;;;;;;;;;;;;;;;;;;;;;;
60083124;com-variacao;;QDVVZLPGC;N;N;N;;;;Calça Pantalona Tons;;;;;;;;;N;;;;Ale Sinhorelli;;;;;Moda Feminina;Calças;;;;;;;;;;;;;;;;;;;;;;;;;
60084598;com-variacao;;LNCXP2ULC;N;N;N;;;;Calça Pantalona Verde;;;;;;;;;N;;;;Ale Sinhorelli;;;;;Moda Feminina;Calças;;;;;;;;;;;;;;;;;;;;;;;;;
60084131;com-variacao;;VHWHVX5ZC;N;N;N;;;;Calça Pantalona Verde e Branca;;;;;;;;;N;;;;Ale Sinhorelli;;;;;Moda Feminina;Calças;;;;;;;;;;;;;;;;;;;;;;;;;
60087239;com-variacao;;X4ND9ALTL;N;N;N;;;;Ciganinha Savage;;;;;;;;;N;;;;Ale Sinhorelli;;;;;Moda Feminina;Blusas;;;;;;;;;;;;;;;;;;;;;;;;;
60077099;com-variacao;;TM5NZ8E5N;N;N;N;;;;Cropped Onça;;;;;;;;;N;;;;Ale Sinhorelli;;;;;Moda Feminina;Blusas;;;;;;;;;;;;;;;;;;;;;;;;;
60080860;com-variacao;;Y3JVF6ACR;N;N;N;;;;Cropped Onça Nessa;;;;;;;;;N;;;;Ale Sinhorelli;;;;;Moda Feminina;Blusas;;;;;;;;;;;;;;;;;;;;;;;;;
60078220;com-variacao;;48LKVC3EP;N;N;N;;;;Cropped Preto;;;;;;;;;N;;;;Ale Sinhorelli;;;;;Moda Feminina;Blusas;;;;;;;;;;;;;;;;;;;;;;;;;
